Date,Sku,Orders
01.09.2020,291294,1
01.09.2020,478190,1
01.09.2020,539421,1
01.09.2020,1185055,1
01.09.2020,1185991,1
01.09.2020,13909,1
01.09.2020,16991,1
01.09.2020,23438,1
01.09.2020,30649,1
01.09.2020,31359,1
01.09.2020,35844,1
01.09.2020,53031,1
01.09.2020,120719,1
01.09.2020,282186,1
01.09.2020,412605,1
01.09.2020,429609,1
01.09.2020,429611,1
01.09.2020,429614,1
01.09.2020,429631,1
01.09.2020,429638,1
01.09.2020,439591,2
01.09.2020,441372,1
01.09.2020,452455,1
01.09.2020,452609,1
01.09.2020,478192,1
01.09.2020,503663,1
01.09.2020,506486,1
01.09.2020,521318,1
01.09.2020,527947,2
01.09.2020,527949,4
01.09.2020,527950,3
01.09.2020,542330,1
01.09.2020,1185519,1
01.09.2020,1185594,2
01.09.2020,1185595,1
01.09.2020,1185599,2
01.09.2020,1185714,1
01.09.2020,1185747,1
01.09.2020,1185749,1
01.09.2020,1186334,1
01.09.2020,1186335,1
01.10.2020,118219,1
01.10.2020,429635,1
01.10.2020,527949,1
01.10.2020,1185005,1
01.10.2020,1185501,1
01.10.2020,1185535,1
01.10.2020,22015,1
01.10.2020,30529,1
01.10.2020,47197,1
01.10.2020,291282,1
01.10.2020,292400,1
01.10.2020,292401,1
01.10.2020,429609,1
01.10.2020,429611,2
01.10.2020,429614,2
01.10.2020,429616,2
01.10.2020,429631,2
01.10.2020,429638,1
01.10.2020,441372,1
01.10.2020,452454,2
01.10.2020,452592,1
01.10.2020,452594,1
01.10.2020,478191,1
01.10.2020,478192,1
01.10.2020,500224,1
01.10.2020,500226,1
01.10.2020,503649,1
01.10.2020,503661,1
01.10.2020,503663,2
01.10.2020,521318,1
01.10.2020,521319,1
01.10.2020,521321,2
01.10.2020,527947,1
01.10.2020,527949,3
01.10.2020,1184895,1
01.10.2020,1184930,2
01.10.2020,1184938,1
01.10.2020,1184990,1
01.10.2020,1185006,2
01.10.2020,1185014,1
01.10.2020,1185420,1
01.10.2020,1185491,1
01.10.2020,1185508,1
01.10.2020,1185535,2
01.10.2020,1185594,1
01.10.2020,1185595,2
01.10.2020,1185599,1
01.10.2020,1185714,1
01.10.2020,1185747,3
01.10.2020,1185749,1
01.10.2020,1186332,1
01.10.2020,1186335,1
01.13.2020,292405,1
01.13.2020,429635,5
01.13.2020,434026,1
01.13.2020,452611,1
01.13.2020,492318,1
01.13.2020,1185751,1
01.13.2020,1185752,1
01.13.2020,22213,1
01.13.2020,22781,1
01.13.2020,28177,1
01.13.2020,28645,2
01.13.2020,118222,1
01.13.2020,120716,1
01.13.2020,282186,1
01.13.2020,292400,1
01.13.2020,292405,1
01.13.2020,396395,1
01.13.2020,412605,1
01.13.2020,429609,4
01.13.2020,429611,6
01.13.2020,429616,4
01.13.2020,429638,4
01.13.2020,441372,1
01.13.2020,452454,2
01.13.2020,452455,2
01.13.2020,452592,1
01.13.2020,452608,2
01.13.2020,492318,3
01.13.2020,494677,1
01.13.2020,503643,1
01.13.2020,503645,1
01.13.2020,503647,2
01.13.2020,503649,3
01.13.2020,503663,1
01.13.2020,503664,3
01.13.2020,503666,1
01.13.2020,503670,1
01.13.2020,506486,1
01.13.2020,527947,1
01.13.2020,527949,1
01.13.2020,539418,1
01.13.2020,1185408,2
01.13.2020,1185412,3
01.13.2020,1185418,1
01.13.2020,1185420,1
01.13.2020,1185521,1
01.13.2020,1185534,2
01.13.2020,1185535,1
01.13.2020,1185538,1
01.13.2020,1185716,2
01.13.2020,1185718,1
01.13.2020,1185747,1
01.13.2020,1185858,1
01.13.2020,1186334,1
01.13.2020,1186335,2
01.14.2020,43347,1
01.14.2020,221743,1
01.14.2020,291996,1
01.14.2020,429635,1
01.14.2020,483380,1
01.14.2020,502237,1
01.14.2020,503648,1
01.14.2020,1185420,1
01.14.2020,26778,1
01.14.2020,28645,1
01.14.2020,30649,1
01.14.2020,53031,1
01.14.2020,76245,1
01.14.2020,291959,1
01.14.2020,291995,1
01.14.2020,429609,8
01.14.2020,429611,8
01.14.2020,429614,2
01.14.2020,429616,3
01.14.2020,429635,3
01.14.2020,429638,4
01.14.2020,439591,1
01.14.2020,441372,2
01.14.2020,452454,2
01.14.2020,452457,1
01.14.2020,478191,1
01.14.2020,492318,9
01.14.2020,502238,1
01.14.2020,503643,1
01.14.2020,503649,1
01.14.2020,503663,1
01.14.2020,503673,1
01.14.2020,527949,1
01.14.2020,1184893,2
01.14.2020,1185006,1
01.14.2020,1185049,1
01.14.2020,1185408,1
01.14.2020,1185412,2
01.14.2020,1185414,1
01.14.2020,1185416,1
01.14.2020,1185422,1
01.14.2020,1185508,1
01.14.2020,1185510,2
01.14.2020,1185512,3
01.14.2020,1185513,1
01.14.2020,1185519,1
01.14.2020,1185521,2
01.14.2020,1185534,2
01.14.2020,1185535,1
01.14.2020,1185537,1
01.14.2020,1185595,1
01.14.2020,1185599,2
01.14.2020,1185716,2
01.14.2020,1185746,1
01.14.2020,1185747,1
01.14.2020,1185749,2
01.14.2020,1186332,2
01.14.2020,1186333,1
01.14.2020,1186334,2
01.15.2020,30530,1
01.15.2020,43213,1
01.15.2020,429635,1
01.15.2020,444242,1
01.15.2020,521308,1
01.15.2020,521309,1
01.15.2020,13909,1
01.15.2020,30295,1
01.15.2020,30649,1
01.15.2020,30654,1
01.15.2020,119257,1
01.15.2020,120719,1
01.15.2020,292400,1
01.15.2020,429609,3
01.15.2020,429611,1
01.15.2020,429614,3
01.15.2020,429616,2
01.15.2020,429635,7
01.15.2020,429638,7
01.15.2020,441372,1
01.15.2020,452455,1
01.15.2020,452590,1
01.15.2020,478192,1
01.15.2020,492318,9
01.15.2020,503650,2
01.15.2020,521312,1
01.15.2020,1185408,2
01.15.2020,1185410,1
01.15.2020,1185414,1
01.15.2020,1185416,1
01.15.2020,1185498,1
01.15.2020,1185503,1
01.15.2020,1185508,1
01.15.2020,1185510,2
01.15.2020,1185512,1
01.15.2020,1185519,2
01.15.2020,1185534,1
01.15.2020,1185535,1
01.15.2020,1185594,3
01.15.2020,1185595,1
01.15.2020,1185599,1
01.15.2020,1185747,1
01.15.2020,1185749,2
01.15.2020,1186332,1
01.15.2020,1186333,1
01.16.2020,429611,1
01.16.2020,444182,1
01.16.2020,452464,1
01.16.2020,503671,1
01.16.2020,1185503,1
01.16.2020,1185594,1
01.16.2020,1185715,1
01.16.2020,1185717,1
01.16.2020,53031,1
01.16.2020,76245,1
01.16.2020,127079,1
01.16.2020,292401,2
01.16.2020,396395,1
01.16.2020,429609,3
01.16.2020,429611,3
01.16.2020,429614,5
01.16.2020,429616,2
01.16.2020,429635,3
01.16.2020,429638,5
01.16.2020,441372,1
01.16.2020,452455,2
01.16.2020,478192,1
01.16.2020,492318,4
01.16.2020,503643,1
01.16.2020,503650,1
01.16.2020,503652,2
01.16.2020,503661,1
01.16.2020,503663,1
01.16.2020,503669,1
01.16.2020,520807,1
01.16.2020,521307,1
01.16.2020,521319,1
01.16.2020,1185408,5
01.16.2020,1185410,1
01.16.2020,1185416,1
01.16.2020,1185420,2
01.16.2020,1185422,1
01.16.2020,1185510,1
01.16.2020,1185513,1
01.16.2020,1185519,1
01.16.2020,1185526,1
01.16.2020,1185534,4
01.16.2020,1185535,1
01.16.2020,1185537,1
01.16.2020,1185594,2
01.16.2020,1185599,1
01.16.2020,1185720,1
01.16.2020,1185746,1
01.16.2020,1185747,1
01.17.2020,291927,1
01.17.2020,291939,1
01.17.2020,291943,1
01.17.2020,291956,1
01.17.2020,291989,1
01.17.2020,291993,1
01.17.2020,291996,1
01.17.2020,512567,1
01.17.2020,1185843,1
01.17.2020,19207,1
01.17.2020,22213,1
01.17.2020,33769,1
01.17.2020,76245,1
01.17.2020,120489,1
01.17.2020,127079,1
01.17.2020,225309,1
01.17.2020,259082,1
01.17.2020,284295,1
01.17.2020,291931,1
01.17.2020,291964,1
01.17.2020,292405,1
01.17.2020,396395,2
01.17.2020,429609,1
01.17.2020,429611,1
01.17.2020,429614,3
01.17.2020,429616,2
01.17.2020,429635,5
01.17.2020,429638,3
01.17.2020,452455,1
01.17.2020,452592,1
01.17.2020,452608,1
01.17.2020,452616,1
01.17.2020,478192,1
01.17.2020,503647,1
01.17.2020,503649,1
01.17.2020,503650,1
01.17.2020,503666,1
01.17.2020,505323,1
01.17.2020,506486,1
01.17.2020,520807,1
01.17.2020,521318,1
01.17.2020,542331,1
01.17.2020,1185418,1
01.17.2020,1185422,1
01.17.2020,1185510,1
01.17.2020,1185512,1
01.17.2020,1185535,1
01.17.2020,1185597,1
01.17.2020,1185599,2
01.17.2020,1185714,1
01.17.2020,1185716,2
01.17.2020,1185718,2
01.17.2020,1185749,1
01.17.2020,1186332,1
01.17.2020,1186335,1
01.20.2020,22607,1
01.20.2020,30657,1
01.20.2020,31362,1
01.20.2020,123044,1
01.20.2020,292405,1
01.20.2020,412605,1
01.20.2020,429638,1
01.20.2020,452617,1
01.20.2020,502237,1
01.20.2020,1185496,1
01.20.2020,1185715,1
01.20.2020,1295437,1
01.20.2020,19207,1
01.20.2020,22015,1
01.20.2020,22837,1
01.20.2020,28645,2
01.20.2020,30295,1
01.20.2020,30649,1
01.20.2020,30654,1
01.20.2020,35308,1
01.20.2020,35926,1
01.20.2020,76245,1
01.20.2020,120716,1
01.20.2020,123987,3
01.20.2020,256604,1
01.20.2020,292405,1
01.20.2020,396395,1
01.20.2020,412605,1
01.20.2020,429609,4
01.20.2020,429611,3
01.20.2020,429614,2
01.20.2020,429616,3
01.20.2020,429635,2
01.20.2020,429638,5
01.20.2020,439591,1
01.20.2020,452455,1
01.20.2020,452457,1
01.20.2020,452588,1
01.20.2020,452617,7
01.20.2020,469969,4
01.20.2020,503643,1
01.20.2020,503645,1
01.20.2020,503663,2
01.20.2020,503664,1
01.20.2020,503673,1
01.20.2020,506486,1
01.20.2020,521307,2
01.20.2020,527949,1
01.20.2020,1184888,1
01.20.2020,1184932,1
01.20.2020,1184934,1
01.20.2020,1184936,1
01.20.2020,1185049,1
01.20.2020,1185408,4
01.20.2020,1185416,2
01.20.2020,1185418,2
01.20.2020,1185420,1
01.20.2020,1185422,3
01.20.2020,1185491,1
01.20.2020,1185508,1
01.20.2020,1185510,4
01.20.2020,1185512,1
01.20.2020,1185517,1
01.20.2020,1185519,2
01.20.2020,1185521,1
01.20.2020,1185534,4
01.20.2020,1185535,1
01.20.2020,1185595,1
01.20.2020,1185597,1
01.20.2020,1185718,1
01.20.2020,1185746,1
01.20.2020,1185747,3
01.20.2020,1186335,2
01.21.2020,292400,1
01.21.2020,292402,1
01.21.2020,429635,1
01.21.2020,429638,1
01.21.2020,439591,1
01.21.2020,452482,1
01.21.2020,452507,1
01.21.2020,469971,1
01.21.2020,1185050,1
01.21.2020,1185467,1
01.21.2020,1185481,1
01.21.2020,1185715,1
01.21.2020,1185717,1
01.21.2020,30295,1
01.21.2020,30654,1
01.21.2020,53030,2
01.21.2020,53031,2
01.21.2020,123987,1
01.21.2020,292400,2
01.21.2020,396395,1
01.21.2020,429609,4
01.21.2020,429611,4
01.21.2020,429614,2
01.21.2020,429616,3
01.21.2020,429635,6
01.21.2020,429638,10
01.21.2020,439591,2
01.21.2020,441372,1
01.21.2020,452454,5
01.21.2020,452460,1
01.21.2020,452616,1
01.21.2020,452617,5
01.21.2020,478192,3
01.21.2020,503649,1
